game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,home_n_goals,home_n_assists,home_n_yellow_cards,home_n_red_cards,home_n_minutes_played,home_performance_score,away_n_goals,away_n_assists,away_n_yellow_cards,away_n_red_cards,away_n_minutes_played,away_performance_score
2225784,GB1,2012,35. Matchday,2013-04-28,11,985,1,1,4.0,1.0,Arsène Wenger,Sir Alex Ferguson,Emirates Stadium,60112.0,Phil Dowd,https://www.transfermarkt.co.uk/arsenal-fc_manchester-united/index/spielbericht/2225784,0,0,Arsenal Football Club,Manchester United Football Club,1:1,domestic_league,0.16666666666666666,0.16666666666666666,1.5,0.0,0.5202558635394455,9.11691542288557,0.16666666666666666,0.0,2.5,0.0,0.5202558635394456,9.950248756218905
2942817,FR1,2017,27. Matchday,2018-02-25,583,244,3,0,1.0,3.0,Unai Emery,Rudi Garcia,Parc des Princes,47490.0,Benoît Bastien,https://www.transfermarkt.co.uk/paris-saint-germain_olympique-marseille/index/spielbericht/2942817,4-3-3,4-2-3-1,Paris Saint-Germain Football Club,Olympique de Marseille,3:0,domestic_league,0.3333333333333333,0.16666666666666666,3.0,0.0,0.5202558635394456,10.783582089552237,0.0,0.0,2.5,0.0,0.5202558635394456,9.783582089552239
2332070,GB1,2013,12. Matchday,2013-11-24,281,148,6,0,4.0,9.0,Manuel Pellegrini,André Villas-Boas,Etihad Stadium,47228.0,Howard Webb,https://www.transfermarkt.co.uk/manchester-city_tottenham-hotspur/index/spielbericht/2332070,4-2-3-1,4-3-3,Manchester City Football Club,Tottenham Hotspur Football Club,6:0,domestic_league,0.8333333333333333,1.0,0.5,0.0,0.5202558635394456,9.61691542288557,0.0,0.0,1.5,0.0,0.5202558635394455,8.783582089552237
2578262,GB1,2015,36. Matchday,2016-05-02,631,148,2,2,9.0,2.0,Guus Hiddink,Mauricio Pochettino,Stamford Bridge,41545.0,Mark Clattenburg,https://www.transfermarkt.co.uk/chelsea-fc_tottenham-hotspur/index/spielbericht/2578262,4-2-3-1,4-2-3-1,Chelsea Football Club,Tottenham Hotspur Football Club,2:2,domestic_league,0.3333333333333333,0.3333333333333333,1.5,0.0,0.5608495981630309,9.457711442786069,0.3333333333333333,0.3333333333333333,4.5,0.0,0.5207889125799573,12.457711442786067
2594535,ES1,2015,7. Matchday,2015-10-04,13,418,1,1,5.0,2.0,Diego Simeone,Rafael Benítez,Vicente Calderón,51933.0,Undiano Mallenco,https://www.transfermarkt.co.uk/atletico-de-madrid_real-madrid/index/spielbericht/2594535,4-4-2,4-3-3,Club Atlético de Madrid S.A.D.,Real Madrid Club de Fútbol,1:1,domestic_league,0.16666666666666666,0.16666666666666666,3.0,0.0,0.5202558635394456,10.61691542288557,0.16666666666666666,0.16666666666666666,2.0,0.0,0.5202558635394456,9.61691542288557
2899869,ES1,2017,36. Matchday,2018-05-06,131,418,2,2,1.0,3.0,Ernesto Valverde,Zinédine Zidane,Spotify Camp Nou,97939.0,Alejandro Hernández Hernández,https://www.transfermarkt.co.uk/fc-barcelona_real-madrid/index/spielbericht/2899869,4-4-2,4-3-3,Futbol Club Barcelona,Real Madrid Club de Fútbol,2:2,domestic_league,0.3333333333333333,0.3333333333333333,1.5,1.0,0.49680170575692956,10.12189054726368,0.3333333333333333,0.3333333333333333,2.5,0.0,0.5202558635394456,10.450248756218905
2899664,ES1,2017,12. Matchday,2017-11-18,13,418,0,0,4.0,3.0,Diego Simeone,Zinédine Zidane,Civitas Metropolitano,66496.0,David Fernández Borbalán,https://www.transfermarkt.co.uk/atletico-de-madrid_real-madrid/index/spielbericht/2899664,4-4-2,4-3-3,Club Atlético de Madrid S.A.D.,Real Madrid Club de Fútbol,0:0,domestic_league,0.0,0.0,3.0,0.0,0.5202558635394455,10.283582089552237,0.0,0.0,1.0,0.0,0.5608495981630309,8.291044776119403
2872453,GB1,2017,34. Matchday,2018-04-14,148,281,1,3,4.0,1.0,Mauricio Pochettino,Pep Guardiola,Wembley Stadium,80811.0,Jonathan Moss,https://www.transfermarkt.co.uk/tottenham-hotspur_manchester-city/index/spielbericht/2872453,4-2-3-1,4-3-3,Tottenham Hotspur Football Club,Manchester City Football Club,1:3,domestic_league,0.16666666666666666,0.16666666666666666,1.5,0.0,0.5202558635394456,9.11691542288557,0.5,0.3333333333333333,2.0,0.0,0.5202558635394456,10.116915422885572
2486657,GB1,2014,19. Matchday,2014-12-28,148,985,0,0,7.0,3.0,Mauricio Pochettino,Louis van Gaal,White Hart Lane,35711.0,Jonathan Moss,https://www.transfermarkt.co.uk/tottenham-hotspur_manchester-united/index/spielbericht/2486657,4-2-3-1,3-1-4-2,Tottenham Hotspur Football Club,Manchester United Football Club,0:0,domestic_league,0.0,0.0,1.0,0.0,0.5608495981630309,8.291044776119403,0.0,0.0,2.0,0.0,0.5202558635394456,9.283582089552239
2243042,ES1,2012,14. Matchday,2012-12-01,418,13,2,0,3.0,2.0,José Mourinho,Diego Simeone,Santiago Bernabéu,79000.0,Undiano Mallenco,https://www.transfermarkt.co.uk/real-madrid_atletico-de-madrid/index/spielbericht/2243042,0,0,Real Madrid Club de Fútbol,Club Atlético de Madrid S.A.D.,2:0,domestic_league,0.3333333333333333,0.16666666666666666,0.5,0.0,0.5207889125799573,8.291044776119403,0.0,0.0,2.5,0.0,0.5202558635394456,9.783582089552237
